model_position,source_position,source_url,pulled_on,height_mean,height_std,height_count,weight_mean,weight_std,weight_count,wingspan_mean,wingspan_std,wingspan_count,arm_mean,arm_std,arm_count,hand_mean,hand_std,hand_count,ten_split_mean,ten_split_std,ten_split_count,twenty_split_mean,twenty_split_std,twenty_split_count,forty_mean,forty_std,forty_count,bench_mean,bench_std,bench_count,vertical_mean,vertical_std,vertical_count,broad_mean,broad_std,broad_count,three_cone_mean,three_cone_std,three_cone_count,shuttle_mean,shuttle_std,shuttle_count
QB,QB,https://www.mockdraftable.com/positions?position=QB,2026-02-26,467.0,74.783,1,467.0,221.203,11,99.0,76.005,2,264.0,31.901,1,265.0,9.594,0,97.0,1.659,0,17.0,2.752,0,405.0,4.822,0,18.0,18.722,3,382.0,31.403,3,376.0,111.247,6,,,,354.0,4.339,0
RB,RB,https://www.mockdraftable.com/positions?position=RB,2026-02-26,881.0,70.935,1,881.0,217.142,17,202.0,74.348,2,518.0,30.922,1,517.0,9.289,0,265.0,1.582,0,57.0,2.637,0,808.0,4.586,0,669.0,19.918,4,779.0,34.343,3,739.0,117.858,6,,,,530.0,4.29,0
WR,WR,https://www.mockdraftable.com/positions?position=WR,2026-02-26,1133.0,72.883,2,1133.0,200.927,15,286.0,76.353,2,811.0,31.874,1,812.0,9.386,0,497.0,1.558,0,185.0,2.602,0,1053.0,4.499,0,556.0,14.705,4,1019.0,35.557,3,984.0,121.353,6,,,,772.0,4.233,0
TE,TE,https://www.mockdraftable.com/positions?position=TE,2026-02-26,501.0,76.436,1,501.0,253.212,11,126.0,79.058,2,306.0,32.974,0,306.0,9.83,0,136.0,1.634,0,27.0,2.767,0,434.0,4.77,0,378.0,20.259,4,411.0,33.082,3,403.0,115.424,6,,,,360.0,4.377,0
OT,OT,https://www.mockdraftable.com/positions?position=OT,2026-02-26,582.0,77.708,1,582.0,315.51,13,128.0,82.101,2,329.0,34.127,0,327.0,10.059,0,133.0,1.79,0,32.0,2.985,0,519.0,5.256,0,446.0,24.446,4,489.0,28.192,3,470.0,103.166,6,,,,433.0,4.752,0
IOL,IOL,https://www.mockdraftable.com/positions?position=IOL,2026-02-26,673.0,75.919,1,673.0,310.963,12,112.0,79.34,2,336.0,33.104,0,337.0,9.879,0,153.0,1.807,0,44.0,3.007,0,603.0,5.289,0,543.0,25.781,5,571.0,27.898,3,550.0,101.5,6,,,,515.0,4.743,0
EDGE,EDGE,https://www.mockdraftable.com/positions?position=EDGE,2026-02-26,724.0,75.748,1,724.0,264.16,14,194.0,80.291,2,452.0,33.514,1,452.0,9.847,0,244.0,1.647,0,59.0,2.755,0,641.0,4.797,0,558.0,23.448,4,607.0,33.34,3,599.0,116.114,6,,,,504.0,4.424,0
DT,DT,https://www.mockdraftable.com/positions?position=DT,2026-02-26,545.0,75.072,1,545.0,305.978,15,109.0,79.615,2,300.0,33.181,1,300.0,9.941,0,160.0,1.752,0,37.0,2.91,0,497.0,5.104,0,427.0,27.403,5,456.0,29.308,2,430.0,105.451,5,,,,399.0,4.642,0
LB,LB,https://www.mockdraftable.com/positions?position=LB,2026-02-26,942.0,73.713,1,942.0,238.926,9,216.0,62.482,13,563.0,32.22,1,562.0,9.621,0,256.0,1.614,0,57.0,2.715,0,831.0,4.704,0,727.0,21.868,4,771.0,34.08,3,768.0,117.112,7,,,,618.0,4.305,0
CB,CB,https://www.mockdraftable.com/positions?position=CB,2026-02-26,854.0,71.471,1,854.0,192.589,9,220.0,75.616,2,548.0,31.431,1,549.0,9.144,0,258.0,1.55,0,58.0,2.599,0,785.0,4.493,0,613.0,14.476,4,712.0,36.137,2,699.0,122.376,5,,,,536.0,4.171,0
S,S,https://www.mockdraftable.com/positions?position=S,2026-02-26,634.0,72.471,1,634.0,206.388,9,140.0,76.021,2,357.0,31.713,2,356.0,9.347,0,153.0,1.571,0,36.0,2.638,0,567.0,4.564,0,497.0,16.877,4,530.0,35.611,2,520.0,120.869,5,,,,378.0,4.218,0
