final_rank,player_name,position,school,final_grade,round_value,consensus_rank,consensus_score,consensus_board_mean_rank,consensus_board_rank_std,consensus_board_source_count,consensus_board_sources,rank_seed
1,Sonny Styles,LB,Ohio State,85.53,Round 1,1,85.53,11.0,8.6,6,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026|Yahoo_Nate_Tice_2026,97
2,Kadyn Proctor,OT,Alabama,85.1,Round 1,2,85.1,19.5,10.56,8,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFLMockDraftDatabase_2026|NFL_Daniel_Jeremiah_2026|PFF_Big_Board|Yahoo_Nate_Tice_2026,9
3,Jeremiyah Love,RB,Notre Dame,85.1,Round 1,3,85.1,6.22,4.05,9,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|FantasyPros_Devy|NFL_Daniel_Jeremiah_2026|NFL_Draft_Buzz|PFF_Big_Board|Yahoo_Nate_Tice_2026,16
4,Jordyn Tyson,WR,Arizona State,84.75,Round 1,4,84.75,12.67,6.75,6,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026|PFF_Big_Board,12
5,Dillon Thieneman,S,Oregon,84.6,Round 1,5,84.6,38.75,15.51,4,CBS_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026,190
6,Monroe Freeling,OT,Georgia,84.59,Round 1,6,84.59,27.75,3.34,4,CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026,34
7,Caleb Lomu,OT,Utah,84.16,Round 1,7,84.16,19.67,7.5,6,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026|PFF_Big_Board,17
8,Daylen Everette,CB,Georgia,83.92,Round 1-2,8,83.92,72.0,0.0,1,ExternalScoutBoard_2026,48
9,Arvell Reese,LB,Ohio State Buckeyes,83.86,Round 2-3,9,83.86,3.62,2.5,8,Athletic_Consensus_2026|CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|NFL_Daniel_Jeremiah_2026|Ringer_NFL_Draft_Guide_2026|Yahoo_Nate_Tice_2026,15
10,Anthony Hill Jr.,LB,Texas Longhorns,83.61,Round 2-3,10,83.61,41.17,23.23,6,CBS_BigBoard_2026|CBS_Wilson_BigBoard_2026|ESPN_Jordan_Reid_2026|ExternalScoutBoard_2026|FantasyPros_Devy|NFL_Daniel_Jeremiah_2026,48
